Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
ASHELY_LOSE_HAIRBAND_VS_PLAYER_CLOTHED,ITEM_LOST,ASHELY,PLAYER,HAIRBAND,HAIRBAND,NONE,,1,ASHE_STRIP_HAIRBAND_BEHIND,,
ASHELY_LOSE_HAIRBAND_VS_PLAYER_LOST_SHIRT,ITEM_LOST,ASHELY,PLAYER,HAIRBAND,HAIRBAND,SHIRT,,1,ASHE_STRIP_HAIRBAND_EVEN,,
ASHELY_LOSE_HAIRBAND_VS_PLAYER_LOST_PANTS,ITEM_LOST,ASHELY,PLAYER,HAIRBAND,HAIRBAND,SHIRT;PANTS,,1,ASHE_STRIP_HAIRBAND_FAR_AHEAD,,
ASHELY_LOSE_HAIRBAND_VS_PLAYER_LOST_BOXERS,ITEM_LOST,ASHELY,PLAYER,HAIRBAND,HAIRBAND,SHIRT;PANTS;BOXERS,,1,ASHE_STRIP_HAIRBAND_FAR_AHEAD,,
ASHELY_LOSE_JACKET_VS_PLAYER_CLOTHED,ITEM_LOST,ASHELY,PLAYER,JACKET,HAIRBAND;JACKET,NONE,,1,ASHE_STRIP_JACKET_BEHIND,,
ASHELY_LOSE_JACKET_VS_PLAYER_LOST_SHIRT,ITEM_LOST,ASHELY,PLAYER,JACKET,HAIRBAND;JACKET,SHIRT,,1,ASHE_STRIP_JACKET_AHEAD,,
ASHELY_LOSE_JACKET_VS_PLAYER_LOST_PANTS,ITEM_LOST,ASHELY,PLAYER,JACKET,HAIRBAND;JACKET,SHIRT;PANTS,,1,ASHE_STRIP_JACKET_AHEAD,,
ASHELY_LOSE_JACKET_VS_PLAYER_LOST_BOXERS,ITEM_LOST,ASHELY,PLAYER,JACKET,HAIRBAND;JACKET,SHIRT;PANTS;BOXERS,,1,ASHE_STRIP_JACKET_FAR_AHEAD,,
ASHELY_LOSE_SHIRT_VS_PLAYER_CLOTHED,ITEM_LOST,ASHELY,PLAYER,SHIRT,HAIRBAND;JACKET;SHIRT,NONE,,1,ASHE_STRIP_SHIRT_BEHIND,,
ASHELY_LOSE_SHIRT_VS_PLAYER_LOST_SHIRT,ITEM_LOST,ASHELY,PLAYER,SHIRT,HAIRBAND;JACKET;SHIRT,SHIRT,,1,ASHE_STRIP_SHIRT_EVEN,,
ASHELY_LOSE_SHIRT_VS_PLAYER_LOST_PANTS,ITEM_LOST,ASHELY,PLAYER,SHIRT,HAIRBAND;JACKET;SHIRT,SHIRT;PANTS,,1,ASHE_STRIP_SHIRT_EVEN,,
ASHELY_LOSE_SHIRT_VS_PLAYER_LOST_BOXERS,ITEM_LOST,ASHELY,PLAYER,SHIRT,HAIRBAND;JACKET;SHIRT,SHIRT;PANTS;BOXERS,,1,ASHE_STRIP_SHIRT_EVEN,,
ASHELY_LOSE_PANTS_VS_PLAYER_CLOTHED,ITEM_LOST,ASHELY,PLAYER,PANTS,HAIRBAND;JACKET;SHIRT;PANTS,NONE,,1,ASHE_STRIP_PANTS_FAR_BEHIND,,
ASHELY_LOSE_PANTS_VS_PLAYER_LOST_SHIRT,ITEM_LOST,ASHELY,PLAYER,PANTS,HAIRBAND;JACKET;SHIRT;PANTS,SHIRT,,1,ASHE_STRIP_PANTS_FAR_BEHIND,,
ASHELY_LOSE_PANTS_VS_PLAYER_LOST_PANTS,ITEM_LOST,ASHELY,PLAYER,PANTS,HAIRBAND;JACKET;SHIRT;PANTS,SHIRT;PANTS,,1,ASHE_STRIP_PANTS_EVEN,,
ASHELY_LOSE_PANTS_VS_PLAYER_LOST_BOXERS,ITEM_LOST,ASHELY,PLAYER,PANTS,HAIRBAND;JACKET;SHIRT;PANTS,SHIRT;PANTS;BOXERS,,1,ASHE_STRIP_PANTS_EVEN_2,,
ASHELY_LOSE_BRA_VS_PLAYER_CLOTHED,ITEM_LOST,ASHELY,PLAYER,BRA,HAIRBAND;JACKET;SHIRT;PANTS;BRA,NONE,,1,ASHE_STRIP_BRA_VERY_FAR_BEHIND,,
ASHELY_LOSE_BRA_VS_PLAYER_LOST_SHIRT,ITEM_LOST,ASHELY,PLAYER,BRA,HAIRBAND;JACKET;SHIRT;PANTS;BRA,SHIRT,,1,ASHE_STRIP_BRA_VERY_FAR_BEHIND,,
ASHELY_LOSE_BRA_VS_PLAYER_LOST_PANTS,ITEM_LOST,ASHELY,PLAYER,BRA,HAIRBAND;JACKET;SHIRT;PANTS;BRA,SHIRT;PANTS,,1,ASHE_STRIP_BRA_STILL_AHEAD,,
ASHELY_LOSE_BRA_VS_PLAYER_LOST_BOXERS,ITEM_LOST,ASHELY,PLAYER,BRA,HAIRBAND;JACKET;SHIRT;PANTS;BRA,SHIRT;PANTS;BOXERS,,1,ASHE_STRIP_BRA_STILL_AHEAD,,
ASHELY_LOSE_PANTIES_VS_PLAYER_CLOTHED,ITEM_LOST,ASHELY,PLAYER,PANTIES,HAIRBAND;JACKET;SHIRT;PANTS;BRA;PANTIES,NONE,,1,ASHE_STRIP_ALL,,
ASHELY_LOSE_PANTIES_VS_PLAYER_LOST_SHIRT,ITEM_LOST,ASHELY,PLAYER,PANTIES,HAIRBAND;JACKET;SHIRT;PANTS;BRA;PANTIES,SHIRT,,1,ASHE_STRIP_ALL,,
ASHELY_LOSE_PANTIES_VS_PLAYER_LOST_PANTS,ITEM_LOST,ASHELY,PLAYER,PANTIES,HAIRBAND;JACKET;SHIRT;PANTS;BRA;PANTIES,SHIRT;PANTS,,1,ASHE_STRIP_ALL,,
ASHELY_LOSE_PANTIES_VS_PLAYER_LOST_BOXERS,ITEM_LOST,ASHELY,PLAYER,PANTIES,HAIRBAND;JACKET;SHIRT;PANTS;BRA;PANTIES,SHIRT;PANTS;BOXERS,,1,ASHE_STRIP_ALL,,
PLAYER_LOSE_SHIRT_VS_ASHELY_CLOTHED,ITEM_LOST,PLAYER,ASHELY,SHIRT,SHIRT,NONE,,1,PLAYER_STRIP_SHIRT_BEHIND,,
PLAYER_LOSE_SHIRT_VS_ASHELY_LOST_HAIRBAND,ITEM_LOST,PLAYER,ASHELY,SHIRT,SHIRT,HAIRBAND,,1,PLAYER_STRIP_SHIRT_EVEN,,
PLAYER_LOSE_SHIRT_VS_ASHELY_LOST_JACKET,ITEM_LOST,PLAYER,ASHELY,SHIRT,SHIRT,HAIRBAND;JACKET,,1,PLAYER_STRIP_SHIRT_EVEN,,
PLAYER_LOSE_SHIRT_VS_ASHELY_LOST_SHIRT,ITEM_LOST,PLAYER,ASHELY,SHIRT,SHIRT,HAIRBAND;JACKET;SHIRT,,1,PLAYER_STRIP_SHIRT_AHEAD,,
