Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
LISA_LOSE_HAT_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,HAT,HAT,NONE,,1,LISA_LOSE_HAT_VS_PLAYER_CLOTHED,,res://data/wallpapers/ana_lyric2.png
LISA_LOSE_HAT_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,HAT,HAT,SHIRT,,1,LISA_LOSE_HAT_VS_PLAYER_LOST_SHIRT,,
LISA_LOSE_HAT_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,HAT,HAT,SHIRT;PANTS,,1,LISA_LOSE_HAT_VS_PLAYER_LOST_PANTS,,
LISA_LOSE_TOP_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,TOP,HAT;TOP,NONE,,1,LISA_LOSE_TOP_VS_PLAYER_CLOTHED,,
LISA_LOSE_TOP_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,TOP,HAT;TOP,SHIRT,,1,LISA_LOSE_TOP_VS_PLAYER_LOST_SHIRT,,
LISA_LOSE_TOP_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,TOP,HAT;TOP,SHIRT;PANTS,,1,LISA_LOSE_TOP_VS_PLAYER_LOST_PANTS,,
LISA_LOSE_SKIRT_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,SKIRT,HAT;TOP;SKIRT,NONE,,1,LISA_LOSE_SKIRT_VS_PLAYER_CLOTHED,,
LISA_LOSE_SKIRT_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,SKIRT,HAT;TOP;SKIRT,SHIRT,,1,LISA_LOSE_SKIRT_VS_PLAYER_LOST_SHIRT,,
LISA_LOSE_SKIRT_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,SKIRT,HAT;TOP;SKIRT,SHIRT;PANTS,,1,LISA_LOSE_SKIRT_VS_PLAYER_LOST_PANTS,,
LISA_LOSE_SKIRT_VS_PLAYER_LOST_PANTS_ALT,ITEM_LOST,LISA,PLAYER,SKIRT,HAT;TOP;SKIRT,SHIRT;PANTS,Flag:Test,2,LISA_LOSE_SKIRT_VS_PLAYER_LOST_PANTS_ALT,Beat Boa With Your Shirt Still On,
LISA_LOSE_SKIRT_VS_PLAYER_LOST_PANTS_ALT2,ITEM_LOST,LISA,PLAYER,SKIRT,HAT;TOP;SKIRT,SHIRT;PANTS,Flag:Test2,3,LISA_LOSE_SKIRT_VS_PLAYER_LOST_PANTS_ALT2,,
LISA_LOSE_UNDERWEAR_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,UNDERWEAR,HAT;TOP;SKIRT;UNDERWEAR,NONE,,1,LISA_LOSE_UNDERWEAR_VS_PLAYER_CLOTHED,,
LISA_LOSE_UNDERWEAR_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,UNDERWEAR,HAT;TOP;SKIRT;UNDERWEAR,SHIRT,,1,LISA_LOSE_UNDERWEAR_VS_PLAYER_LOST_SHIRT,,
LISA_LOSE_UNDERWEAR_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,UNDERWEAR,HAT;TOP;SKIRT;UNDERWEAR,SHIRT;PANTS,,1,LISA_LOSE_UNDERWEAR_VS_PLAYER_LOST_PANTS,,
PLAYER_LOSE_SHIRT_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,NONE,,1,PLAYER_LOSE_SHIRT_VS_LISA_CLOTHED,,
PLAYER_LOSE_SHIRT_VS_LISA_LOST_HAT,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,HAT,,1,PLAYER_LOSE_SHIRT_VS_LISA_LOST_HAT,,
PLAYER_LOSE_SHIRT_VS_LISA_LOST_TOP,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,HAT;TOP,,1,PLAYER_LOSE_SHIRT_VS_LISA_LOST_TOP,,
PLAYER_LOSE_SHIRT_VS_LISA_LOST_SKIRT,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,HAT;TOP;SKIRT,,1,PLAYER_LOSE_SHIRT_VS_LISA_LOST_SKIRT,,
PLAYER_LOSE_PANTS_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,NONE,,1,PLAYER_LOSE_PANTS_VS_LISA_CLOTHED,,
PLAYER_LOSE_PANTS_VS_LISA_LOST_HAT,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,HAT,,1,PLAYER_LOSE_PANTS_VS_LISA_LOST_HAT,,
PLAYER_LOSE_PANTS_VS_LISA_LOST_TOP,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,HAT;TOP,,1,PLAYER_LOSE_PANTS_VS_LISA_LOST_TOP,,
PLAYER_LOSE_PANTS_VS_LISA_LOST_SKIRT,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,HAT;TOP;SKIRT,,1,PLAYER_LOSE_PANTS_VS_LISA_LOST_SKIRT,,
