Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
LISA_LOSE_EVENT 1_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 1,EVENT 1,NONE,,1,LISA_LOSE_EVENT 1_VS_PLAYER_CLOTHED,,
LISA_LOSE_EVENT 1_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 1,EVENT 1,EVENT 1,,1,LISA_LOSE_EVENT 1_VS_PLAYER_LOST_EVENT 1,,
LISA_LOSE_EVENT 1_VS_PLAYER_LOST_EVENT 2,ITEM_LOST,LISA,PLAYER,EVENT 1,EVENT 1,EVENT 1;EVENT 2,,1,LISA_LOSE_EVENT 1_VS_PLAYER_LOST_EVENT 2,,
LISA_LOSE_EVENT 2_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 2,EVENT 1;EVENT 2,NONE,,1,LISA_LOSE_EVENT 2_VS_PLAYER_CLOTHED,,
LISA_LOSE_EVENT 2_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 2,EVENT 1;EVENT 2,EVENT 1,,1,LISA_LOSE_EVENT 2_VS_PLAYER_LOST_EVENT 1,,
LISA_LOSE_EVENT 2_VS_PLAYER_LOST_EVENT 2,ITEM_LOST,LISA,PLAYER,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2,,1,LISA_LOSE_EVENT 2_VS_PLAYER_LOST_EVENT 2,,
LISA_LOSE_EVENT 3_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 3,EVENT 1;EVENT 2;EVENT 3,NONE,,1,LISA_LOSE_EVENT 3_VS_PLAYER_CLOTHED,,
LISA_LOSE_EVENT 3_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 3,EVENT 1;EVENT 2;EVENT 3,EVENT 1,,1,LISA_LOSE_EVENT 3_VS_PLAYER_LOST_EVENT 1,,
LISA_LOSE_EVENT 3_VS_PLAYER_LOST_EVENT 2,ITEM_LOST,LISA,PLAYER,EVENT 3,EVENT 1;EVENT 2;EVENT 3,EVENT 1;EVENT 2,,1,LISA_LOSE_EVENT 3_VS_PLAYER_LOST_EVENT 2,,
LISA_LOSE_EVENT 4_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 4,EVENT 1;EVENT 2;EVENT 3;EVENT 4,NONE,,1,LISA_LOSE_EVENT 4_VS_PLAYER_CLOTHED,,
LISA_LOSE_EVENT 4_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 4,EVENT 1;EVENT 2;EVENT 3;EVENT 4,EVENT 1,,1,LISA_LOSE_EVENT 4_VS_PLAYER_LOST_EVENT 1,,
LISA_LOSE_EVENT 4_VS_PLAYER_LOST_EVENT 2,ITEM_LOST,LISA,PLAYER,EVENT 4,EVENT 1;EVENT 2;EVENT 3;EVENT 4,EVENT 1;EVENT 2,,1,LISA_LOSE_EVENT 4_VS_PLAYER_LOST_EVENT 2,,
PLAYER_LOSE_EVENT 1_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,NONE,,1,PLAYER_LOSE_EVENT 1_VS_LISA_CLOTHED,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 1,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1,,1,PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 1,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 2,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2,,1,PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 2,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 3,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2;EVENT 3,,1,PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 3,,
PLAYER_LOSE_EVENT 2_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,NONE,,1,PLAYER_LOSE_EVENT 2_VS_LISA_CLOTHED,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 1,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1,,1,PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 1,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 2,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2,,1,PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 2,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 3,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2;EVENT 3,,1,PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 3,,
