Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
LISA_LOSE_EVENT 1_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 1,EVENT 1,NONE,,1,FIRST_LISA_LOSS,,
LISA_LOSE_EVENT 1_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 1,EVENT 1,EVENT 1,,1,FIRST_LISA_LOSS,,
LISA_LOSE_EVENT 2_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 2,EVENT 1;EVENT 2,NONE,,1,SECOND_LISA_LOSS,,
LISA_LOSE_EVENT 2_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 2,EVENT 1;EVENT 2,EVENT 1,,1,SECOND_LISA_LOSS,,
LISA_LOSE_EVENT 3_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 3,EVENT 1;EVENT 2;EVENT 3,NONE,,1,THIRD_LISA_LOSS,,
LISA_LOSE_EVENT 3_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 3,EVENT 1;EVENT 2;EVENT 3,EVENT 1,,1,THIRD_LISA_LOSS,,
LISA_LOSE_EVENT 4_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 4,EVENT 1;EVENT 2;EVENT 3;EVENT 4,NONE,,1,INTERMISSION,,
LISA_LOSE_EVENT 4_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 4,EVENT 1;EVENT 2;EVENT 3;EVENT 4,EVENT 1,,1,INTERMISSION,,
LISA_LOSE_EVENT 5_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 5,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5,NONE,,1,FOURTH_LISA_LOSS,,
LISA_LOSE_EVENT 5_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 5,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5,EVENT 1,,1,FOURTH_LISA_LOSS,,
LISA_LOSE_EVENT 6_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 6,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5;EVENT 6,NONE,,1,FIFTH_LISA_LOSS,,
LISA_LOSE_EVENT 6_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 6,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5;EVENT 6,EVENT 1,,1,FIFTH_LISA_LOSS,,
LISA_LOSE_EVENT 7_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,EVENT 7,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5;EVENT 6;EVENT 7,NONE,,1,LAST_LISA_LOSS,,
