Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
LISA_LOSE_ROUND 1_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,ROUND 1,ROUND 1,NONE,,1,LISA_FIRST_LOSS_BEHIND,,
LISA_LOSE_ROUND 1_VS_PLAYER_LOST_ROUND 1,ITEM_LOST,LISA,PLAYER,ROUND 1,ROUND 1,ROUND 1,,1,LISA_FIRST_LOSS_CLOSE,,
LISA_LOSE_ROUND 1_VS_PLAYER_LOST_ROUND 2,ITEM_LOST,LISA,PLAYER,ROUND 1,ROUND 1,ROUND 1;ROUND 2,,1,LISA_FIRST_LOSS_AHEAD,,
LISA_LOSE_ROUND 1_VS_PLAYER_LOST_ROUND 3,ITEM_LOST,LISA,PLAYER,ROUND 1,ROUND 1,ROUND 1;ROUND 2;ROUND 3,,1,LISA_FIRST_LOSS_FAR_AHEAD,,
LISA_LOSE_ROUND 2_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,ROUND 2,ROUND 1;ROUND 2,NONE,,1,LISA_SEC_LOSS_BEHIND,,
LISA_LOSE_ROUND 2_VS_PLAYER_LOST_ROUND 1,ITEM_LOST,LISA,PLAYER,ROUND 2,ROUND 1;ROUND 2,ROUND 1,,1,LISA_SEC_LOSS_BEHIND,,
LISA_LOSE_ROUND 2_VS_PLAYER_LOST_ROUND 2,ITEM_LOST,LISA,PLAYER,ROUND 2,ROUND 1;ROUND 2,ROUND 1;ROUND 2,,1,LISA_SEC_LOSS_CLOSE,,
LISA_LOSE_ROUND 2_VS_PLAYER_LOST_ROUND 3,ITEM_LOST,LISA,PLAYER,ROUND 2,ROUND 1;ROUND 2,ROUND 1;ROUND 2;ROUND 3,,1,LISA_SEC_LOSS_FAR_AHEAD,,
LISA_LOSE_ROUND 3_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,ROUND 3,ROUND 1;ROUND 2;ROUND 3,NONE,,1,LISA_THIRD_LOSS_BEHIND,,
LISA_LOSE_ROUND 3_VS_PLAYER_LOST_ROUND 1,ITEM_LOST,LISA,PLAYER,ROUND 3,ROUND 1;ROUND 2;ROUND 3,ROUND 1,,1,LISA_THIRD_LOSS_BEHIND,,
LISA_LOSE_ROUND 3_VS_PLAYER_LOST_ROUND 2,ITEM_LOST,LISA,PLAYER,ROUND 3,ROUND 1;ROUND 2;ROUND 3,ROUND 1;ROUND 2,,1,LISA_THIRD_LOSS_CLOSE,,
LISA_LOSE_ROUND 3_VS_PLAYER_LOST_ROUND 3,ITEM_LOST,LISA,PLAYER,ROUND 3,ROUND 1;ROUND 2;ROUND 3,ROUND 1;ROUND 2;ROUND 3,,1,LISA_THIRD_LOSS_CLOSE,,
PLAYER_LOSE_ROUND 1_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,ROUND 1,ROUND 1,NONE,,1,PLAYER_FIRST_LOSS_BEHIND,,
PLAYER_LOSE_ROUND 1_VS_LISA_LOST_ROUND 1,ITEM_LOST,PLAYER,LISA,ROUND 1,ROUND 1,ROUND 1,,1,PLAYER_FIRST_LOSS_CLOSE,,
PLAYER_LOSE_ROUND 1_VS_LISA_LOST_ROUND 2,ITEM_LOST,PLAYER,LISA,ROUND 1,ROUND 1,ROUND 1;ROUND 2,,1,PLAYER_FIRST_LOSS_CLOSE,,
PLAYER_LOSE_ROUND 1_VS_LISA_LOST_ROUND 3,ITEM_LOST,PLAYER,LISA,ROUND 1,ROUND 1,ROUND 1;ROUND 2;ROUND 3,,1,PLAYER_FIRST_LOSS_FAR_AHEAD,,
PLAYER_LOSE_ROUND 2_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,ROUND 2,ROUND 1;ROUND 2,NONE,,1,PLAYER_SEC_LOSS_BEHIND,,
PLAYER_LOSE_ROUND 2_VS_LISA_LOST_ROUND 1,ITEM_LOST,PLAYER,LISA,ROUND 2,ROUND 1;ROUND 2,ROUND 1,,1,PLAYER_SEC_LOSS_BEHIND,,
PLAYER_LOSE_ROUND 2_VS_LISA_LOST_ROUND 2,ITEM_LOST,PLAYER,LISA,ROUND 2,ROUND 1;ROUND 2,ROUND 1;ROUND 2,,1,PLAYER_SEC_LOSS_CLOSE,,
PLAYER_LOSE_ROUND 2_VS_LISA_LOST_ROUND 3,ITEM_LOST,PLAYER,LISA,ROUND 2,ROUND 1;ROUND 2,ROUND 1;ROUND 2;ROUND 3,,1,PLAYER_SEC_LOSS_AHEAD,,
PLAYER_LOSE_ROUND 3_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,ROUND 3,ROUND 1;ROUND 2;ROUND 3,NONE,,1,PLAYER_THIRD_LOSS_FAR_BEHIND,,
PLAYER_LOSE_ROUND 3_VS_LISA_LOST_ROUND 1,ITEM_LOST,PLAYER,LISA,ROUND 3,ROUND 1;ROUND 2;ROUND 3,ROUND 1,,1,PLAYER_THIRD_LOSS_BEHIND,,
PLAYER_LOSE_ROUND 3_VS_LISA_LOST_ROUND 2,ITEM_LOST,PLAYER,LISA,ROUND 3,ROUND 1;ROUND 2;ROUND 3,ROUND 1;ROUND 2,,1,PLAYER_THIRD_LOSS_BEHIND,,
PLAYER_LOSE_ROUND 3_VS_LISA_LOST_ROUND 3,ITEM_LOST,PLAYER,LISA,ROUND 3,ROUND 1;ROUND 2;ROUND 3,ROUND 1;ROUND 2;ROUND 3,,1,PLAYER_THIRD_LOSS_CLOSE,,
PLAYER_LOSE_ROUND 4_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,ROUND 4,ROUND 1;ROUND 2;ROUND 3;ROUND 4,NONE,,1,PLAYER_LOST,,
PLAYER_LOSE_ROUND 4_VS_LISA_LOST_ROUND 1,ITEM_LOST,PLAYER,LISA,ROUND 4,ROUND 1;ROUND 2;ROUND 3;ROUND 4,ROUND 1,,1,PLAYER_LOST,,
PLAYER_LOSE_ROUND 4_VS_LISA_LOST_ROUND 2,ITEM_LOST,PLAYER,LISA,ROUND 4,ROUND 1;ROUND 2;ROUND 3;ROUND 4,ROUND 1;ROUND 2,,1,PLAYER_LOST,,
PLAYER_LOSE_ROUND 4_VS_LISA_LOST_ROUND 3,ITEM_LOST,PLAYER,LISA,ROUND 4,ROUND 1;ROUND 2;ROUND 3;ROUND 4,ROUND 1;ROUND 2;ROUND 3,,1,PLAYER_LOST,,
