Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
LISA_LOSE_TOP_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,TOP,TOP,NONE,,1,LISA_STRIP_TOP3,,
LISA_LOSE_TOP_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,TOP,TOP,SHIRT,,1,LISA_STRIP_TOP2,,
LISA_LOSE_TOP_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,TOP,TOP,SHIRT;PANTS,,1,LISA_STRIP_TOP2,,
LISA_LOSE_SHORTS_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,SHORTS,TOP;SHORTS,NONE,,1,LISA_STRIP_SHORTS3,,
LISA_LOSE_SHORTS_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,SHORTS,TOP;SHORTS,SHIRT,,1,LISA_STRIP_SHORTS3,,
LISA_LOSE_SHORTS_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,SHORTS,TOP;SHORTS,SHIRT;PANTS,,1,LISA_STRIP_SHORTS1,,
LISA_LOSE_BRA_VS_PLAYER_CLOTHED,ITEM_LOST,LISA,PLAYER,BRA,TOP;SHORTS;BRA,NONE,,1,LISA_STRIP_BRA3,,
LISA_LOSE_BRA_VS_PLAYER_LOST_SHIRT,ITEM_LOST,LISA,PLAYER,BRA,TOP;SHORTS;BRA,SHIRT,,1,LISA_STRIP_BRA3,,
LISA_LOSE_BRA_VS_PLAYER_LOST_PANTS,ITEM_LOST,LISA,PLAYER,BRA,TOP;SHORTS;BRA,SHIRT;PANTS,,1,LISA_STRIP_BRA1,,
PLAYER_LOSE_SHIRT_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,NONE,,1,P_STRIP_SHIRT1,,
PLAYER_LOSE_SHIRT_VS_LISA_LOST_TOP,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,TOP,,1,P_STRIP_SHIRT1,,
PLAYER_LOSE_SHIRT_VS_LISA_LOST_SHORTS,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,TOP;SHORTS,,1,P_STRIP_SHIRT2,,
PLAYER_LOSE_SHIRT_VS_LISA_LOST_BRA,ITEM_LOST,PLAYER,LISA,SHIRT,SHIRT,TOP;SHORTS;BRA,,1,P_STRIP_SHIRT2,,
PLAYER_LOSE_PANTS_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,NONE,,1,P_STRIP_PANTS1,,
PLAYER_LOSE_PANTS_VS_LISA_LOST_TOP,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,TOP,,1,P_STRIP_PANTS1,,
PLAYER_LOSE_PANTS_VS_LISA_LOST_SHORTS,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,TOP;SHORTS,,1,P_STRIP_PANTS2,,
PLAYER_LOSE_PANTS_VS_LISA_LOST_BRA,ITEM_LOST,PLAYER,LISA,PANTS,SHIRT;PANTS,TOP;SHORTS;BRA,,1,P_STRIP_PANTS2,,
PLAYER_LOSE_BOXERS_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,BOXERS,SHIRT;PANTS;BOXERS,NONE,,1,P_STRIP_ALL1,,
PLAYER_LOSE_BOXERS_VS_LISA_LOST_TOP,ITEM_LOST,PLAYER,LISA,BOXERS,SHIRT;PANTS;BOXERS,TOP,,1,P_STRIP_ALL1,,
PLAYER_LOSE_BOXERS_VS_LISA_LOST_SHORTS,ITEM_LOST,PLAYER,LISA,BOXERS,SHIRT;PANTS;BOXERS,TOP;SHORTS,,1,P_STRIP_ALL2,,
PLAYER_LOSE_BOXERS_VS_LISA_LOST_BRA,ITEM_LOST,PLAYER,LISA,BOXERS,SHIRT;PANTS;BOXERS,TOP;SHORTS;BRA,,1,P_STRIP_ALL3,,
